participant_id;list;block;item;agent;words;clue;count;assoc;guesses;board_dist;rt;quality;difficulty;freetext
0;1;1;0;-;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];clothe;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];[];[];42345;1;1;i just picked two options that fit into one category
0;1;1;1;-;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];place;3;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];[];[];92869;4;2;
0;1;1;2;-;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];cart;3;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];[];[];132460;3;4;
0;1;1;4;-;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];breeze;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];[];[];205446;1;7;
0;1;1;3;-;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];shape;1;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];[];[];56595;3;3;
0;1;2;14;RSA-openai;['gas', 'slug', 'glove', 'jet', 'ninja', 'crane', 'concert', 'cotton', 'circle', 'fence', 'charge', 'sound', 'iron', 'laser', 'pupil', 'aztec'];circus;2;[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1];['cotton', 'concert'];[];49228;7;7;
0;1;2;15;other-GPT-weighted;['bell', 'tower', 'organ', 'switch', 'hawk', 'suit', 'rabbit', 'cast', 'mail', 'cycle', 'fighter', 'star', 'bed', 'cat', 'duck', 'revolution'];deer;4;[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];['hawk', 'rabbit', 'cat', 'duck'];[];23873;3;3;
0;1;2;13;RSA-openai;['scorpion', 'field', 'london', 'tablet', 'drill', 'trip', 'alps', 'antarctica', 'undertaker', 'rome', 'soul', 'dance', 'england', 'row', 'genius', 'dwarf'];jump;2;[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1];['dance', 'trip'];[];42349;5;4;
0;1;2;19;other-GPT-weighted;['disease', 'sink', 'stick', 'piano', 'boot', 'casino', 'port', 'part', 'play', 'mole', 'lock', 'knight', 'hand', 'america', 'orange', 'teacher'];put;5;[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0];['sink', 'boot', 'hand', 'casino', 'stick'];[];79634;7;6;
0;1;2;11;RSA-openai;['string', 'wall', 'mouse', 'diamond', 'grass', 'telescope', 'roulette', 'shoe', 'chocolate', 'conductor', 'doctor', 'cap', 'litter', 'atlantis', 'bill', 'platypus'];toe;1;[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1];['shoe'];[];18287;2;1;
0;1;2;18;other-GPT-weighted;['chick', 'compound', 'ice', 'knife', 'foot', 'pit', 'hood', 'day', 'ray', 'trunk', 'microscope', 'sub', 'code', 'crash', 'gold', 'scientist'];handgun;2;[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0];['knife', 'ray'];[];28476;4;4;
0;1;2;12;RSA-openai;['spell', 'thumb', 'pistol', 'giant', 'paper', 'snow', 'lawyer', 'shark', 'paste', 'ship', 'maple', 'penguin', 'contract', 'staff', 'theater', 'cell'];whaler;2;[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1];['ship', 'staff'];[];43007;5;4;
0;1;2;16;other-GPT-weighted;['march', 'tick', 'mouth', 'superhero', 'cross', 'ring', 'limousine', 'point', 'czech', 'olympus', 'canada', 'ketchup', 'tooth', 'alien', 'fair', 'copper'];one;2;[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1];['point', 'ring'];[];20783;1;1;
0;1;2;10;RSA-openai;['helicopter', 'germany', 'belt', 'cricket', 'lemon', 'match', 'whip', 'deck', 'back', 'cold', 'pants', 'cook', 'engine', 'jack', 'swing', 'comic'];prep;3;[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1];['cook', 'engine', 'swing'];[];41539;4;3;
0;1;2;17;other-GPT-weighted;['luck', 'witch', 'press', 'heart', 'oil', 'scale', 'slip', 'mint', 'lead', 'bat', 'arm', 'pirate', 'calf', 'pool', 'center', 'mammoth'];core;2;[0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0];['center', 'heart'];[];27111;2;2;
1;1;1;3;-;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];blow;2;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];[];[];65343;5;6;
1;1;1;4;-;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];celestial;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];[];[];75191;6;6;
1;1;1;1;-;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];stick;2;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];[];[];49405;4;5;
1;1;1;2;-;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];climb;3;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];[];[];29681;3;4;
1;1;1;0;-;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];pouch;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];[];[];29206;3;4;
1;1;2;14;RSA-openai;['gas', 'slug', 'glove', 'jet', 'ninja', 'crane', 'concert', 'cotton', 'circle', 'fence', 'charge', 'sound', 'iron', 'laser', 'pupil', 'aztec'];circus;2;[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1];['laser', 'concert'];[];26388;4;5;
1;1;2;16;other-GPT-weighted;['march', 'tick', 'mouth', 'superhero', 'cross', 'ring', 'limousine', 'point', 'czech', 'olympus', 'canada', 'ketchup', 'tooth', 'alien', 'fair', 'copper'];one;2;[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1];['mouth', 'march'];[];32094;5;5;
1;1;2;10;RSA-openai;['helicopter', 'germany', 'belt', 'cricket', 'lemon', 'match', 'whip', 'deck', 'back', 'cold', 'pants', 'cook', 'engine', 'jack', 'swing', 'comic'];prep;3;[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1];['cricket', 'cook', 'match'];[];23290;5;4;
1;1;2;17;other-GPT-weighted;['luck', 'witch', 'press', 'heart', 'oil', 'scale', 'slip', 'mint', 'lead', 'bat', 'arm', 'pirate', 'calf', 'pool', 'center', 'mammoth'];core;2;[0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0];['center', 'lead'];[];20821;3;3;
1;1;2;12;RSA-openai;['spell', 'thumb', 'pistol', 'giant', 'paper', 'snow', 'lawyer', 'shark', 'paste', 'ship', 'maple', 'penguin', 'contract', 'staff', 'theater', 'cell'];whaler;2;[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1];['shark', 'ship'];[];23025;2;3;
1;1;2;18;other-GPT-weighted;['chick', 'compound', 'ice', 'knife', 'foot', 'pit', 'hood', 'day', 'ray', 'trunk', 'microscope', 'sub', 'code', 'crash', 'gold', 'scientist'];handgun;2;[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0];['ray', 'knife'];[];17773;5;5;
1;1;2;11;RSA-openai;['string', 'wall', 'mouse', 'diamond', 'grass', 'telescope', 'roulette', 'shoe', 'chocolate', 'conductor', 'doctor', 'cap', 'litter', 'atlantis', 'bill', 'platypus'];toe;1;[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1];['shoe'];[];8614;1;2;
1;1;2;15;other-GPT-weighted;['bell', 'tower', 'organ', 'switch', 'hawk', 'suit', 'rabbit', 'cast', 'mail', 'cycle', 'fighter', 'star', 'bed', 'cat', 'duck', 'revolution'];deer;4;[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];['rabbit', 'cat', 'duck', 'hawk'];[];19625;1;1;
1;1;2;13;RSA-openai;['scorpion', 'field', 'london', 'tablet', 'drill', 'trip', 'alps', 'antarctica', 'undertaker', 'rome', 'soul', 'dance', 'england', 'row', 'genius', 'dwarf'];jump;2;[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1];['trip', 'dance'];[];18033;3;3;
1;1;2;19;other-GPT-weighted;['disease', 'sink', 'stick', 'piano', 'boot', 'casino', 'port', 'part', 'play', 'mole', 'lock', 'knight', 'hand', 'america', 'orange', 'teacher'];put;5;[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0];['stick', 'lock', 'sink', 'mole', 'play'];[];30809;7;7;
2;1;1;3;-;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];spider;1;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];[];[];23033;1;3;
2;1;1;2;-;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];food;1;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];[];[];60555;2;5;
2;1;1;1;-;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];country;1;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];[];[];35946;2;4;
2;1;1;4;-;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];celestial;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];[];[];28281;2;4;
2;1;1;0;-;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];clothing;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];[];[];13128;2;3;
2;1;2;11;RSA-openai;['string', 'wall', 'mouse', 'diamond', 'grass', 'telescope', 'roulette', 'shoe', 'chocolate', 'conductor', 'doctor', 'cap', 'litter', 'atlantis', 'bill', 'platypus'];toe;1;[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1];['shoe'];[];11369;1;3;
2;1;2;15;other-GPT-weighted;['bell', 'tower', 'organ', 'switch', 'hawk', 'suit', 'rabbit', 'cast', 'mail', 'cycle', 'fighter', 'star', 'bed', 'cat', 'duck', 'revolution'];deer;4;[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];['rabbit', 'cat', 'duck', 'hawk'];[];22889;2;4;
2;1;2;12;RSA-openai;['spell', 'thumb', 'pistol', 'giant', 'paper', 'snow', 'lawyer', 'shark', 'paste', 'ship', 'maple', 'penguin', 'contract', 'staff', 'theater', 'cell'];whaler;2;[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1];['shark', 'ship'];[];13721;2;2;
2;1;2;17;other-GPT-weighted;['luck', 'witch', 'press', 'heart', 'oil', 'scale', 'slip', 'mint', 'lead', 'bat', 'arm', 'pirate', 'calf', 'pool', 'center', 'mammoth'];core;2;[0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0];['heart', 'center'];[];13858;2;3;
2;1;2;14;RSA-openai;['gas', 'slug', 'glove', 'jet', 'ninja', 'crane', 'concert', 'cotton', 'circle', 'fence', 'charge', 'sound', 'iron', 'laser', 'pupil', 'aztec'];circus;2;[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1];['concert', 'circle'];[];20098;4;4;
2;1;2;18;other-GPT-weighted;['chick', 'compound', 'ice', 'knife', 'foot', 'pit', 'hood', 'day', 'ray', 'trunk', 'microscope', 'sub', 'code', 'crash', 'gold', 'scientist'];handgun;2;[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0];['knife', 'hood'];[];22303;5;5;
2;1;2;13;RSA-openai;['scorpion', 'field', 'london', 'tablet', 'drill', 'trip', 'alps', 'antarctica', 'undertaker', 'rome', 'soul', 'dance', 'england', 'row', 'genius', 'dwarf'];jump;2;[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1];['dance', 'trip'];[];13971;3;4;
2;1;2;19;other-GPT-weighted;['disease', 'sink', 'stick', 'piano', 'boot', 'casino', 'port', 'part', 'play', 'mole', 'lock', 'knight', 'hand', 'america', 'orange', 'teacher'];put;5;[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0];['boot', 'hand', 'lock', 'stick', 'sink'];[];49162;5;4;
2;1;2;10;RSA-openai;['helicopter', 'germany', 'belt', 'cricket', 'lemon', 'match', 'whip', 'deck', 'back', 'cold', 'pants', 'cook', 'engine', 'jack', 'swing', 'comic'];prep;3;[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1];['cook', 'lemon', 'helicopter'];[];20648;5;5;
2;1;2;16;other-GPT-weighted;['march', 'tick', 'mouth', 'superhero', 'cross', 'ring', 'limousine', 'point', 'czech', 'olympus', 'canada', 'ketchup', 'tooth', 'alien', 'fair', 'copper'];one;2;[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1];['limousine', 'point'];[];15490;7;6;
3;1;1;0;-;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];clothing;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];[];[];43849;5;2;
3;1;1;3;-;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];stick;2;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];[];[];100235;4;5;
3;1;1;1;-;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];light;2;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];[];[];49445;5;3;
3;1;1;4;-;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];army;2;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];[];[];33624;4;5;
3;1;1;2;-;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];store;2;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];[];[];22781;6;3;
3;1;2;10;RSA-openai;['helicopter', 'germany', 'belt', 'cricket', 'lemon', 'match', 'whip', 'deck', 'back', 'cold', 'pants', 'cook', 'engine', 'jack', 'swing', 'comic'];prep;3;[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1];['cook', 'whip', 'jack'];[];27184;4;4;
3;1;2;19;other-GPT-weighted;['disease', 'sink', 'stick', 'piano', 'boot', 'casino', 'port', 'part', 'play', 'mole', 'lock', 'knight', 'hand', 'america', 'orange', 'teacher'];put;5;[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0];['port', 'sink', 'boot', 'stick', 'play'];[];37346;3;5;
3;1;2;11;RSA-openai;['string', 'wall', 'mouse', 'diamond', 'grass', 'telescope', 'roulette', 'shoe', 'chocolate', 'conductor', 'doctor', 'cap', 'litter', 'atlantis', 'bill', 'platypus'];toe;1;[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1];['cap'];[];15002;4;4;
3;1;2;16;other-GPT-weighted;['march', 'tick', 'mouth', 'superhero', 'cross', 'ring', 'limousine', 'point', 'czech', 'olympus', 'canada', 'ketchup', 'tooth', 'alien', 'fair', 'copper'];one;2;[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1];['cross', 'point'];[];25570;4;4;
3;1;2;13;RSA-openai;['scorpion', 'field', 'london', 'tablet', 'drill', 'trip', 'alps', 'antarctica', 'undertaker', 'rome', 'soul', 'dance', 'england', 'row', 'genius', 'dwarf'];jump;2;[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1];['trip', 'dance'];[];16654;5;3;
3;1;2;15;other-GPT-weighted;['bell', 'tower', 'organ', 'switch', 'hawk', 'suit', 'rabbit', 'cast', 'mail', 'cycle', 'fighter', 'star', 'bed', 'cat', 'duck', 'revolution'];deer;4;[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];['duck', 'cat', 'rabbit', 'hawk'];[];25912;4;4;
3;1;2;12;RSA-openai;['spell', 'thumb', 'pistol', 'giant', 'paper', 'snow', 'lawyer', 'shark', 'paste', 'ship', 'maple', 'penguin', 'contract', 'staff', 'theater', 'cell'];whaler;2;[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1];['contract', 'ship'];[];14510;6;3;
3;1;2;18;other-GPT-weighted;['chick', 'compound', 'ice', 'knife', 'foot', 'pit', 'hood', 'day', 'ray', 'trunk', 'microscope', 'sub', 'code', 'crash', 'gold', 'scientist'];handgun;2;[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0];['knife', 'crash'];[];27925;4;4;
3;1;2;14;RSA-openai;['gas', 'slug', 'glove', 'jet', 'ninja', 'crane', 'concert', 'cotton', 'circle', 'fence', 'charge', 'sound', 'iron', 'laser', 'pupil', 'aztec'];circus;2;[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1];['concert', 'circle'];[];21959;4;4;
3;1;2;17;other-GPT-weighted;['luck', 'witch', 'press', 'heart', 'oil', 'scale', 'slip', 'mint', 'lead', 'bat', 'arm', 'pirate', 'calf', 'pool', 'center', 'mammoth'];core;2;[0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0];['heart', 'center'];[];27700;6;1;
4;1;1;1;-;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];light;2;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];[];[];32292;2;3;Some of the red words were very different and i would have struggled to link them, i chose words that could be eaily linked as they both produced light
